183762,-0.02,-0.00,5.10
183794,-0.01,0.00,
183811,-0.01,-0.00,
183838,0.02,-0.00,
183875,-0.04,-0.01,
183907,-0.01,-0.00,
183934,0.00,-0.01,
183956,-0.04,-0.01,
183988,-0.02,-0.01,
184005,-0.03,-0.02,
184037,0.02,-0.02,
184055,-0.03,-0.02,
184068,-0.03,-0.02,
184105,-0.04,-0.02,
184123,0.02,-0.01,
184150,-0.02,-0.02,
184182,-0.01,-0.02,
184195,-0.03,-0.02,
184203,0.01,-0.01,
184229,-0.01,-0.01,
184247,-0.02,-0.01,
184260,0.03,-0.02,
184278,-0.04,-0.01,
184310,-0.06,-0.00,
184337,0.03,0.00,
184369,0.00,-0.02,3.46
184378,0.01,-0.02,
184396,-0.03,-0.02,
184432,0.00,-0.01,
184440,0.02,0.00,
184462,-0.00,0.00,
184499,0.06,-0.01,
184526,-0.04,-0.01,
184553,-0.08,0.01,
184566,0.06,0.03,
184593,-0.09,-0.00,5.06
184624,-0.09,-0.00,
184661,0.06,-0.02,
184683,-0.01,-0.06,
184700,0.07,-0.04,
184737,0.08,-0.03,
184764,-0.05,-0.03,
184801,-0.07,0.04,
184814,-0.04,0.06,
184850,0.07,0.02,
184868,-0.00,-0.01,
184885,0.02,-0.04,
184922,0.05,-0.03,
184935,0.02,0.00,
184967,-0.02,0.03,
184994,-0.08,0.04,
185011,-0.04,0.03,
185032,0.07,0.01,
185054,-0.12,-0.03,5.99
185072,-0.00,-0.02,
185099,0.08,-0.04,
185121,-0.03,-0.04,
185148,0.02,-0.01,
185180,-0.11,-0.00,
185188,-0.01,0.01,
185196,0.09,0.01,
185217,-0.10,-0.03,
185244,0.04,-0.03,
185261,-0.08,-0.02,
185288,0.09,-0.01,
185301,0.07,-0.01,
185309,0.06,-0.02,
185321,0.05,-0.01,
185339,0.08,0.05,
185371,0.09,0.06,
185384,-0.10,0.08,
185420,-0.11,0.09,
185433,0.05,0.07,
185465,0.08,0.01,
185492,-0.08,-0.03,6.93
185501,-0.10,-0.02,
185538,0.07,-0.01,
185556,-0.08,-0.01,
185583,0.07,0.00,
185614,0.10,-0.05,
185626,-0.05,-0.05,
185663,0.02,0.02,
185681,-0.13,0.04,
185699,0.14,0.04,
185731,0.09,0.01,
185749,-0.05,-0.02,7.49
185777,-0.16,0.00,
185803,-0.11,0.05,
185840,0.10,0.02,
185862,0.07,-0.03,
185884,-0.06,-0.10,
185916,0.02,-0.06,
185928,-0.09,-0.01,
185955,-0.03,0.04,
185977,0.05,0.02,
186003,0.04,-0.04,7.84
186021,0.02,-0.05,
186048,0.05,-0.01,
186065,0.01,0.00,
186097,0.05,0.04,
186115,-0.08,0.04,
186133,-0.08,0.04,
186146,0.06,0.03,
186173,-0.07,-0.01,
186185,-0.07,-0.02,
186211,0.02,-0.03,
186238,-0.07,-0.05,
186265,-0.06,-0.02,
186278,0.01,-0.02,
186300,0.03,-0.06,
186332,-0.06,-0.04,
186350,0.01,-0.02,
186368,-0.05,-0.03,
186390,0.04,-0.00,
186417,-0.10,-0.01,
186429,0.02,-0.01,
186466,0.03,-0.03,
186484,-0.05,-0.03,
186501,-0.06,-0.02,
186519,-0.01,-0.01,
186546,-0.03,-0.02,
186568,0.05,-0.01,
186600,0.02,-0.04,
186632,0.02,-0.03,
186668,0.06,-0.00,
186676,-0.06,0.02,
186713,-0.01,0.04,
186740,-0.04,0.04,
186757,0.02,0.01,
186789,0.07,-0.01,6.83
186802,0.02,-0.03,
186829,-0.02,-0.02,
186855,0.01,0.02,
186872,-0.05,0.03,
186899,-0.12,0.03,
186921,-0.30,0.01,
186938,0.27,-0.01,
186970,-0.27,-0.12,
186997,0.05,-0.08,
187015,0.21,-0.11,
187046,0.19,-0.10,
187064,-0.02,-0.02,
187101,0.06,0.09,
187114,-0.18,0.07,
187151,0.16,0.18,
187173,-0.13,0.06,
187185,0.06,0.01,
187193,0.10,-0.04,4.22
187220,-0.22,-0.03,
187227,-0.05,0.02,
187235,-0.21,0.02,
187248,-0.10,-0.03,
187256,-0.19,-0.06,
187264,-0.06,-0.13,
187272,0.13,-0.18,
187280,-0.01,-0.16,
187288,0.19,-0.12,
187305,-0.24,-0.06,
187342,-0.23,0.05,
187360,-0.18,0.09,
187368,0.21,0.00,
187390,-0.01,-0.15,4.65
187407,0.18,-0.15,
187420,-0.02,-0.15,
187428,0.24,0.03,
187450,-0.04,0.08,
187473,-0.26,0.14,
187496,-0.09,0.12,
187523,0.11,0.07,
187545,-0.05,-0.06,
187582,-0.19,-0.07,
187608,0.02,-0.10,
187645,0.05,-0.07,
187667,-0.19,-0.03,
187684,-0.18,-0.02,
187702,-0.01,-0.06,
187720,0.16,-0.08,
187752,-0.07,-0.10,
187770,0.19,-0.09,
187782,0.13,-0.07,
187800,0.14,0.04,
187827,-0.17,0.10,
187845,-0.09,0.15,
187858,0.18,0.11,
187890,-0.13,0.04,
187922,-0.19,-0.00,5.02
187964,0.18,-0.02,
187981,0.14,-0.08,
187994,-0.14,-0.03,
188012,-0.05,0.02,
188029,0.14,-0.01,
188047,-0.05,0.02,
188084,-0.15,0.05,
188106,0.14,-0.01,8.03
188124,0.11,-0.05,
188151,-0.14,-0.01,
188169,0.01,0.03,
